drone_name,flight_radius,flight_height,cost,battery_life,wind_resistance,payload_capacity,noise_level,regulatory_compliance,camera_quality,obstacle_avoidance,user_rating
DJI Phantom 3 Advanced,5132,6772,14235,86,81,5.34,80,0,35,1,6
DJI Phantom 3 Professional,3415,143,4138,51,63,13.81,7,1,25,1,6
DJI Phantom 3 Professional,1081,9868,5858,89,26,4.92,98,1,4,0,1
DJI Phantom 3 SE,8316,8845,9196,94,95,13.44,24,1,10,1,7
DJI Phantom 3 Standard,8268,4017,4956,51,23,19.75,24,1,4,1,4
DJI Phantom 3 Standard,895,7290,8397,5,44,8.3,30,0,9,1,9
DJI Phantom 4,9832,5971,1428,70,84,15.32,84,0,32,0,1
DJI Phantom 4,2645,3119,12023,59,0,2.53,59,1,38,1,5
DJI Phantom 4,2622,9577,14398,24,10,2.6,61,1,19,1,8
DJI Phantom 4 Advanced,9076,6186,10066,76,79,10.07,34,1,13,0,6
DJI Phantom 4 Advanced+,9495,1123,9839,35,73,10.6,10,1,10,1,10
DJI Phantom 4 Advanced+,1261,6692,14588,65,12,13.13,34,1,15,1,4
DJI Phantom 4 Advanced+,6243,748,6109,93,86,13.39,26,1,47,0,9
DJI Phantom 4 Advanced+,4361,3163,11697,54,31,16.1,4,1,32,0,5
DJI Phantom 4 Pro,9789,1887,2512,30,74,18.43,34,0,26,1,2
DJI Phantom 4 Pro+,7852,9226,7291,6,71,15.2,18,0,49,1,8
DJI Phantom 4 RTK,6488,2494,8107,88,57,17.77,4,0,19,1,2
DJI Spark,9267,6932,11289,38,82,8.33,81,1,38,1,10
DJI Spark,2305,8978,11967,76,13,6.33,63,0,47,1,8
Holy Stone F181W,3324,2701,7063,87,30,8.12,91,0,27,0,1
Holy Stone HS100,3722,2307,9035,60,21,17.23,32,0,1,1,4
Holy Stone HS100,2802,792,3065,84,93,0.06,43,0,42,1,6
Holy Stone HS100,4885,8418,11439,84,3,11.05,47,1,43,0,7
Holy Stone HS100D,7608,3598,3625,99,89,16.62,22,0,3,0,3
Holy Stone HS100D,7871,9906,1578,55,45,17.05,100,1,36,0,5
Holy Stone HS100D FPV,5875,4217,753,15,60,0.24,70,0,26,0,6
Holy Stone HS100D FPV,4179,5098,5256,96,62,5.47,5,1,0,0,1
Holy Stone HS100D FPV,9309,3422,1147,67,7,15.11,29,1,2,0,10
Holy Stone HS100G,624,6228,7631,35,45,8.27,68,0,40,1,3
Holy Stone HS100G Drone with 1080P FHD Camera,8656,1310,3663,20,50,7.86,20,0,17,0,7
Holy Stone HS100G Drone with 1080P FHD Camera,5335,3645,1100,70,68,6.22,75,0,20,0,8
Holy Stone HS110D,7039,4559,5874,44,2,6.2,100,1,6,0,3
Holy Stone HS110D,2700,2330,3712,99,29,18.03,52,1,12,1,8
Holy Stone HS120D FPV,3480,1075,11413,79,99,8.07,86,0,38,1,3
Holy Stone HS160 Shadow,7575,4376,272,0,74,9.37,52,1,35,1,10
Holy Stone HS160 Shadow,2144,1452,6745,78,39,8.56,4,0,32,1,8
Holy Stone HS160 Shadow,2397,4742,11746,20,96,4.33,91,0,36,0,3
Holy Stone HS170G,2137,884,1471,30,30,15.67,96,0,25,1,5
Holy Stone HS210,9828,6578,12607,47,64,12.28,52,0,23,0,1
Holy Stone HS210,8159,2357,12245,86,96,12.47,8,0,3,1,7
Holy Stone HS210,6074,5148,7988,77,74,3.83,61,1,26,0,6
Holy Stone HS210,4014,7585,4964,78,17,11.23,71,1,18,1,6
Holy Stone HS210,4621,3445,3114,63,20,8.13,21,0,30,0,2
Holy Stone HS210 Mini,7224,5698,3756,80,19,2.65,16,1,26,0,5
Holy Stone HS210 Mini,1594,7229,10486,61,42,9.1,26,1,3,0,1
Holy Stone HS210 Mini,8485,6330,1434,80,37,8.2,55,1,31,1,2
Holy Stone HS350 Black,3553,1199,11130,67,84,17.75,14,0,17,1,8
Holy Stone HS510,8754,9765,1041,35,59,0.37,77,0,46,1,1
Holy Stone HS510,9311,5973,8074,22,48,2.34,70,1,40,1,10
Holy Stone HS510,2551,7808,8277,69,95,13.66,37,1,4,1,10
Holy Stone HS510,4469,3025,13807,96,33,0.25,58,0,16,0,7
Holy Stone HS720E,9497,4081,2808,35,63,16.28,9,1,40,1,1
Holy Stone HS720E,4122,837,1724,100,69,12.87,59,1,1,1,8
Holy Stone HS720E,7446,2628,9402,100,20,17.8,76,0,22,0,2
Hubsan H107D+ FPV X4 Plus RTF,487,202,11327,79,58,5.89,65,0,27,0,10
Hubsan H107D+ FPV X4 Plus RTF,2228,5843,4608,36,50,10.7,29,1,46,1,6
Hubsan H107D+ Professional Edition,638,1444,9560,97,75,10.29,45,1,2,0,10
Hubsan H107D+ Professional Edition RTF,6090,9184,12988,73,45,9.63,89,0,23,0,2
Hubsan H107D+ Professional Edition RTF,9367,1443,1193,96,20,15.68,92,0,46,0,10
Hubsan H117S Zino Pro,4458,2000,4857,5,38,0.78,84,0,49,1,10
Hubsan H117S Zino Pro,2855,3690,8211,71,58,14.76,26,0,6,0,9
Hubsan H117S Zino Pro,3477,9949,3827,30,76,4.26,49,1,41,1,5
Hubsan H117S Zino Pro,3580,6496,10084,3,43,10.47,13,0,49,1,3
Hubsan H117S Zino Pro Plus,5280,1906,11034,77,8,2.54,54,0,31,1,1
Hubsan H117S Zino Pro Plus,8416,2534,10084,75,18,16.94,96,1,44,0,4
Hubsan H117S Zino Pro Plus,4652,2119,646,78,77,13.14,39,1,45,1,4
Hubsan H123D X4 Jet Pro,2835,4325,7069,7,63,15.82,61,1,16,0,9
Hubsan H123D X4 Jet Pro,1452,8146,7428,76,59,19.84,98,1,17,1,1
Hubsan H123D X4 Jet Pro,7333,2581,12612,2,17,6.37,54,1,27,1,2
Hubsan H507A X4 Star Pro,9465,8071,9864,65,97,14.42,42,1,27,0,4
Hubsan H507A X4 Star Pro,3033,101,1918,53,44,3.82,38,1,26,0,10
Hubsan H507A X4 Star Pro,7415,545,1711,9,70,17.34,70,0,29,1,5
Hubsan H507A X4 Star Pro,4038,5582,8036,59,66,5.87,70,1,19,0,6
Hubsan H507S X4 Star Pro,9106,2848,10953,6,25,5.73,4,1,43,1,6
Hubsan H507S X4 Star Pro,5318,4616,14530,85,24,4.14,73,0,15,1,8
Hubsan H507S X4 Star Pro,3598,3460,9934,11,40,17.22,19,0,19,1,4
Hubsan H906A Controller,5831,6909,6591,27,24,1.75,17,1,27,1,4
Hubsan H906A Controller,6187,6391,8384,47,38,4.58,11,1,27,1,1
Parrot AR Drone 1.0,224,3267,2513,90,73,8.21,44,0,15,0,2
Parrot AR Drone 1.0,9237,8059,4056,12,2,8.43,82,1,46,0,9
Parrot AR Drone 2.0,2538,6837,1565,48,28,7.9,4,0,15,0,2
Parrot Anafi,7068,2192,3295,30,9,15.67,38,0,39,0,4
Parrot Anafi USA,7522,2975,13973,81,39,1.75,38,0,30,1,3
Parrot Anafi USA,6748,8764,11996,68,33,11.02,74,0,14,1,1
Parrot Anafi USA,4453,3714,8548,35,52,16.18,0,0,37,1,2
Parrot Anafi USA,5230,8278,2185,50,80,19.45,66,1,23,1,10
Parrot Anafi USA,6041,7149,5513,53,33,2.76,39,1,7,1,8
Parrot Bebop 2,7393,7196,12840,38,44,16.41,90,1,33,0,3
Parrot Bebop 2,9989,1826,4154,32,67,3.14,39,1,2,0,5
Parrot Bebop Pro Thermal,6196,513,5882,29,41,18.24,82,1,8,0,9
Parrot Bebop Pro Thermal,6130,3179,6895,32,46,16.05,94,0,15,1,3
Parrot Bebop-Pro 3D Mapping,3863,5718,13878,88,82,7.49,50,1,39,0,3
Parrot Bebop-Pro 3D Mapping,5954,4107,7397,100,48,10.26,69,1,28,0,3
Parrot Bebop-Pro 3D Modeling,1885,2916,10630,51,100,11.62,91,1,41,0,1
Parrot Bebop-Pro 3D Modeling,1509,673,5004,31,35,15.73,38,1,42,1,10
Parrot Bluegrass Fields,5691,218,3371,18,49,12.81,68,1,13,1,1
Parrot Bluegrass Fields,4097,9597,10097,91,56,15.7,76,0,0,0,1
Parrot Bluegrass Fields,3315,567,9738,49,28,13.98,5,0,4,0,2
Parrot Disco-Pro AG,9484,7141,653,11,55,12.23,42,1,11,1,10
Parrot Disco-Pro AG,8409,1156,9966,59,20,11.36,24,1,29,0,6
Parrot Jumping Sumo,5785,3937,3941,72,87,14.65,36,0,17,0,10
Parrot Jumping Sumo,2553,309,8214,16,67,10.74,92,1,37,0,8
Parrot Mambo,5548,5520,9595,14,76,15.53,73,0,15,1,4
Parrot Mambo,2145,8037,3530,6,15,0.43,45,0,25,0,5
Parrot Mambo FPV,8082,9345,2502,21,46,13.64,29,1,46,0,3
Parrot MiniDrones Airborne Cargo Mars,5244,7693,11296,21,24,14.48,2,0,43,1,9
Parrot MiniDrones Airborne Cargo Travis,5916,2180,522,97,38,7.16,91,1,50,1,6
Parrot MiniDrones Airborne Cargo Travis,3258,6932,10243,56,28,14.81,11,1,50,1,2
Parrot MiniDrones Airborne Night Blaze,7300,379,9392,82,36,10.19,4,0,4,1,9
Parrot MiniDrones Airborne Night Blaze,9023,2302,4574,4,100,14.12,17,0,19,0,2
Parrot MiniDrones Airborne Night Swat,3949,5729,1741,4,16,9.24,91,1,39,1,6
Parrot MiniDrones Airborne Night Swat,6844,2108,14592,4,25,5.05,77,1,3,0,3
Parrot MiniDrones Hydrofoil,5499,147,2249,35,1,2.43,17,1,38,0,4
Parrot MiniDrones Hydrofoil,1593,8662,9995,100,25,18.27,91,0,38,0,1
Parrot MiniDrones Hydrofoil,9247,5607,5891,31,45,11.99,64,1,27,1,7
Parrot MiniDrones Jumping Night Diesel,1815,5272,2686,84,72,9.47,29,1,6,0,6
Parrot MiniDrones Jumping Night Jett,4261,8300,1552,47,73,12.01,70,0,33,0,6
Parrot MiniDrones Jumping Night Jett,6081,9692,9442,92,97,16.32,97,1,25,1,8
Parrot MiniDrones Jumping Night Jett,7915,9241,9219,43,79,14.06,57,0,7,0,3
Parrot MiniDrones Jumping Race Buzz,3978,8465,5963,11,12,18.1,15,0,47,0,1
Parrot MiniDrones Jumping Race Buzz,8600,6678,10053,70,31,18.92,43,0,43,1,2
Parrot MiniDrones Jumping Race Jumper,2098,789,2739,58,93,12.59,30,1,9,1,6
Parrot MiniDrones Jumping Race Max,2152,8507,4080,13,71,2.44,24,1,9,1,2
Parrot MiniDrones Jumping Race Max,3389,2002,3225,20,12,8.69,7,0,43,0,1
Parrot MiniDrones Jumping Race Tuk Tuk,6083,7781,13810,67,19,7.53,59,0,43,0,7
Parrot MiniDrones Jumping Race Tuk Tuk,6654,2782,13219,90,66,8.99,5,1,26,1,2
Parrot MiniDrones Jumping Race Tuk Tuk,3912,7231,1641,73,89,6.23,74,1,19,0,7
Parrot MiniDrones Mambo CANNON,6518,6310,977,39,63,6.05,0,0,14,1,7
Parrot MiniDrones Mambo FPV,6465,3782,5846,47,84,19.51,98,0,18,0,2
Parrot MiniDrones Mambo FPV,497,1778,5918,14,81,16.12,67,0,15,1,3
Parrot MiniDrones Mambo FPV,1650,5081,5289,49,45,5.23,51,1,21,0,3
Parrot MiniDrones Mambo Fly,8256,6751,871,25,27,5.72,44,1,49,1,5
Parrot MiniDrones Mambo GRABBER,7979,7804,13626,22,62,17.05,6,1,25,1,7
Parrot MiniDrones Mambo Mission,6156,7633,9909,21,54,17.41,56,0,27,1,9
Parrot MiniDrones Rolling Spider,3989,4777,2082,12,73,7.6,59,0,43,1,3
Parrot MiniDrones Swing,927,6178,7151,32,75,18.56,27,1,45,0,6
Parrot MiniDrones Swing,2209,8445,10265,84,49,14.09,48,1,49,0,2
Parrot MiniDrones Swing,2116,172,10057,46,65,3.27,83,0,21,0,3
Parrot MiniDrones Swing,9938,3770,13369,91,77,1.61,57,1,6,1,8
Parrot Rolling Spider,3597,3719,9949,73,60,7.45,55,1,22,0,6
Parrot Rolling Spider,7927,8324,7966,36,18,1.48,83,1,45,1,8
Parrot S.L.A.M.dunk,6432,7305,2393,63,81,0.65,33,0,18,1,6
Parrot S.L.A.M.dunk,8877,9176,7497,95,4,3.95,52,1,3,0,5
Parrot S.L.A.M.dunk,3212,9002,8722,52,66,19.64,60,0,22,1,2
Parrot Swing,2614,5989,2892,39,25,12.79,23,1,1,1,1
Parrot Swing,9449,1770,8457,79,59,18.26,99,0,10,0,4
Parrot Swing,7045,1617,10913,91,98,1.84,28,1,49,0,3
PowerEgg X Explorer,5218,7304,10386,53,82,6.85,73,0,0,0,6
PowerEgg X Explorer,2942,7967,5741,66,42,4.36,83,1,37,1,3
PowerEgg X Explorer,6398,9663,12883,84,66,18.21,97,0,47,0,7
PowerEye Agricultural Solution,3821,4955,9542,18,75,13.78,58,0,50,0,10
PowerEye Professional,6955,4933,362,22,44,7.09,93,1,9,0,4
PowerEye Professional,4103,5572,3521,93,52,10.97,76,0,43,1,2
Skydio 2,4458,7017,1310,92,54,4.01,23,0,47,0,9
Skydio X2,434,9614,2014,3,28,1.4,30,1,4,1,7
Skydio X2E,1092,1593,11366,35,60,2.73,6,1,45,1,6
Syma W1 PRO,6727,4383,13393,82,88,17.83,95,1,9,1,8
Syma X11C,7869,6934,11676,95,76,12.61,6,1,13,0,7
Syma X11C,8069,4146,5233,18,15,19.89,55,0,21,0,3
Syma X11C,1184,1979,4784,63,57,5.44,84,0,38,0,7
Syma X15,2909,6434,5334,68,50,16.55,14,0,0,0,7
Syma X15,1575,1353,3797,67,23,5.37,49,1,23,0,10
Syma X15W,9047,5259,10916,85,4,10.63,98,0,21,1,2
Syma X15W,8146,1511,4817,41,17,5.14,46,0,25,1,6
Syma X21W,1904,4476,5559,57,80,6.98,5,0,33,0,5
Syma X22W,8183,7380,431,67,8,2.83,60,0,4,1,1
Syma X25PRO,1894,571,10954,47,95,7.52,92,1,41,0,3
Syma X56W,238,8045,13570,33,4,3.12,51,1,5,0,1
Syma X56W,420,717,6015,51,39,17.56,86,0,41,0,5
Syma X56W,2569,9165,6372,92,21,5.42,94,0,9,0,4
Syma X56W,5729,6118,10812,38,14,19.3,76,1,30,0,9
Syma X56W,9937,7286,9648,14,21,9.66,15,1,27,0,1
Syma X56W,9206,6212,6391,51,86,7.87,94,1,47,1,5
Syma X5C,634,7192,14649,54,12,12.02,44,0,34,0,3
Syma X5HW-I,6475,9505,1897,38,90,1.54,91,0,42,1,3
Syma X5HW-I,5408,9066,3018,69,46,18.79,35,0,9,1,4
Syma X5HW-I,7222,8741,9888,62,71,14.88,55,1,38,0,8
Syma X5SW-V3,5909,4760,10196,10,33,5.03,31,0,18,0,2
Syma X5UW,9013,8896,9660,24,75,11.23,55,1,20,1,10
Syma X5UW-D,6201,5088,4420,41,55,8.19,53,0,19,0,10
Syma X5UW-D,744,9908,11063,20,100,11.67,70,0,40,0,9
Syma X5UW-D,1330,1850,2886,53,43,3.07,26,1,45,0,8
Syma X5UW-D,7510,8170,1596,36,31,4.87,92,0,40,1,10
Syma X5UW-D,9348,6947,2805,35,98,0.95,60,1,23,1,1
Syma X8G,5171,1005,12172,10,52,10.62,88,0,43,1,5
Syma X8G,960,3351,9079,67,19,18.15,5,0,26,0,1
Syma X8G,7800,9406,7234,37,63,17.53,72,1,33,0,9
Syma X8G,7337,3407,8292,78,28,14.78,29,1,14,0,10
Syma X8HC,6170,8620,1563,38,53,8.57,2,1,15,1,4
Syma X8HC,9882,5096,8118,67,50,18.76,25,1,17,0,7
Syma X8SW-D,4781,6950,2509,51,59,11.71,84,1,42,1,6
Syma X8SW-D,7063,6821,4788,77,91,15.83,36,0,40,1,1
Syma X8SW-D,452,3479,10949,74,68,8.9,12,0,42,1,6
Syma X8SW-D,9422,3666,1304,14,38,3.96,60,0,19,1,2
Yuneec Breeze,5178,7063,9353,84,19,7.95,50,0,25,1,3
Yuneec Breeze,3170,5482,12629,35,19,16.89,29,1,39,1,9
Yuneec Breeze,6134,7663,14372,55,43,17.85,25,0,31,0,7
Yuneec Breeze,4413,7410,3666,33,89,8.55,3,0,37,0,2
Yuneec CGO-ET,2813,7234,12850,6,19,15.8,24,1,31,1,3
Yuneec CGO-ET,4197,9800,4763,53,0,8.19,40,0,16,1,10
Yuneec CGO-ET,2592,8712,525,75,11,5.83,63,1,9,1,1
Yuneec E10T,1359,4461,2156,36,78,4.35,16,1,39,1,9
Yuneec E10T,8342,5766,11120,61,19,2.29,68,0,21,1,7
Yuneec E10T,4369,4494,10558,29,40,9.21,49,1,33,1,10
Yuneec E30Z,645,2301,1627,31,49,1.46,57,1,17,0,4
Yuneec E50,2859,7044,5705,99,70,17.62,9,0,5,0,8
Yuneec E50,7129,7551,2251,96,76,15.07,12,0,35,0,9
Yuneec E50,2740,5228,6540,90,42,1.52,27,0,36,0,9
Yuneec E50,952,365,13431,42,96,12.95,50,1,19,1,7
Yuneec E90,8357,1457,8880,85,53,12.47,48,0,20,0,2
Yuneec E90,5725,2261,6147,77,24,7.71,94,1,28,0,3
Yuneec H520 RTK,2532,1409,13288,87,88,10.12,4,1,36,1,2
Yuneec H520-SE,5844,7436,6135,13,48,14.22,28,0,42,0,4
Yuneec H520E,1324,8531,8254,51,52,14.94,61,0,50,0,9
Yuneec H920 Plus,2799,2294,4903,59,29,9.92,61,0,38,1,10
Yuneec H920 Plus,8524,4409,2397,22,68,9.78,57,1,46,0,10
Yuneec H920 Plus,4026,9121,8046,8,37,9.28,14,1,1,0,5
Yuneec H920 Plus Drone,4852,1951,5530,50,63,7.97,95,0,39,0,6
Yuneec Mantis G,7935,8284,3960,19,71,10.39,41,0,45,1,7
Yuneec Mantis G Drone,5471,2299,14751,95,98,16.54,10,1,30,1,1
Yuneec Mantis G Drone,3616,6218,8355,71,52,15.32,85,0,12,0,2
Yuneec Mantis Q,8880,5738,11394,71,80,10.76,52,1,32,0,9
Yuneec Mantis Q Plus,9686,8462,2698,99,67,9.74,41,1,33,0,9
Yuneec Q500 4K,8234,1674,7556,88,54,18.11,39,0,16,1,7
Yuneec Q500 4K,8275,2174,6980,77,72,5.79,43,0,49,1,1
Yuneec Tornado H920,6353,7577,13148,24,29,17.58,28,1,33,0,4
Yuneec Tornado H920,3975,7590,6100,90,31,0.14,93,1,1,1,8
Yuneec Tornado H920 Plus,4159,747,1891,10,57,0.43,71,1,10,0,7
Yuneec Typhoon 4K,8293,1065,6893,62,60,18.19,30,1,21,0,10
Yuneec Typhoon H Plus,2815,5118,9235,71,29,2.1,54,0,42,1,8
Yuneec Typhoon H Pro,1947,244,15000,28,59,6.73,98,1,14,1,6
